timestamp,cpu_percent,cpu_interrupts,virtual_memory_total,virtual_memory_available,virtual_memory_used,virtual_memory_percent,swap_total,swap_used,swap_percent,disk_usage_total,disk_usage_used,disk_usage_percent,net_bytes_sent,net_bytes_recv
2025-11-07 14:47:45,10.7,159383044,17059594240,5167742976,11891851264,69.7,12348030976,112689152,0.9,511207010304,298879729664,58.5,335850697,27635997730
2025-11-07 14:47:56,37.0,159460646,17059594240,5194571776,11865022464,69.6,12348030976,112689152,0.9,511207010304,298879729664,58.5,335860318,27636014120
2025-11-07 14:48:07,7.4,159550852,17059594240,5197885440,11861708800,69.5,12348030976,112689152,0.9,511207010304,298879819776,58.5,335883899,27636047022
2025-11-07 14:48:18,8.9,159634840,17059594240,5176721408,11882872832,69.7,12348030976,112689152,0.9,511207010304,298879819776,58.5,335893799,27636063433
2025-11-07 14:48:29,8.6,159731098,17059594240,5175181312,11884412928,69.7,12348030976,112689152,0.9,511207010304,298879836160,58.5,335915393,27636103808
2025-11-07 14:48:40,8.7,159808723,17059594240,5203210240,11856384000,69.5,12348030976,112689152,0.9,511207010304,298879836160,58.5,335942121,27636140642
2025-11-07 14:48:51,10.7,159912427,17059594240,5155414016,11904180224,69.8,12348030976,107864064,0.9,511207010304,298880364544,58.5,335952790,27636158404
2025-11-07 14:49:02,19.3,160013582,17059594240,5146398720,11913195520,69.8,12348030976,107864064,0.9,511207010304,298882347008,58.5,335962848,27636204499
2025-11-07 14:49:13,8.5,160111150,17059594240,5151985664,11907608576,69.8,12348030976,107864064,0.9,511207010304,298882940928,58.5,335988358,27636231016
2025-11-07 14:49:24,13.9,160194138,17059594240,5196161024,11863433216,69.5,12348030976,107864064,0.9,511207010304,298883006464,58.5,335998834,27636269335
2025-11-07 14:49:35,10.2,160276909,17059594240,5180407808,11879186432,69.6,12348030976,107864064,0.9,511207010304,298883031040,58.5,336021496,27636303875
2025-11-07 14:49:46,15.6,160368938,17059594240,5146763264,11912830976,69.8,12348030976,107864064,0.9,511207010304,298883424256,58.5,336030651,27636321996
2025-11-07 14:49:57,39.6,160471086,17059594240,5135540224,11924054016,69.9,12348030976,107864064,0.9,511207010304,298883821568,58.5,336035843,27636333337
2025-11-07 14:50:08,11.8,160569001,17059594240,5060919296,11998674944,70.3,12348030976,107864064,0.9,511207010304,298880385024,58.5,336047903,27636354944
2025-11-07 14:50:19,9.6,160657115,17059594240,5076172800,11983421440,70.2,12348030976,107864064,0.9,511207010304,298880827392,58.5,336064623,27636374453
2025-11-07 14:50:30,8.2,160738875,17059594240,5068124160,11991470080,70.3,12348030976,107864064,0.9,511207010304,298880897024,58.5,336088902,27636422254
2025-11-07 14:50:41,8.3,160809861,17059594240,5092847616,11966746624,70.1,12348030976,107864064,0.9,511207010304,298880831488,58.5,336104003,27636444164
2025-11-07 14:50:52,15.1,160888204,17059594240,5095694336,11963899904,70.1,12348030976,107864064,0.9,511207010304,298880765952,58.5,336108273,27636477606
2025-11-07 14:51:03,10.0,160964900,17059594240,5076639744,11982954496,70.2,12348030976,107864064,0.9,511207010304,298880786432,58.5,336114883,27636490065
2025-11-07 14:51:14,8.9,161058368,17059594240,5080813568,11978780672,70.2,12348030976,107864064,0.9,511207010304,298881085440,58.5,336124752,27636520226
2025-11-07 14:51:25,8.2,161141961,17059594240,5106335744,11953258496,70.1,12348030976,107864064,0.9,511207010304,298881089536,58.5,336134572,27636548549
2025-11-07 14:51:36,9.7,161238770,17059594240,5089230848,11970363392,70.2,12348030976,107864064,0.9,511207010304,298881089536,58.5,336156207,27636579181
2025-11-07 14:51:47,13.9,161331538,17059594240,5315047424,11744546816,68.8,12348030976,114106368,0.9,511207010304,298881089536,58.5,336167626,27636598642
2025-11-07 14:51:58,11.7,161430043,17059594240,5294125056,11765469184,69.0,12348030976,114106368,0.9,511207010304,298881155072,58.5,336173838,27636609754
2025-11-07 14:52:09,10.3,161507858,17059594240,5325520896,11734073344,68.8,12348030976,114106368,0.9,511207010304,298881171456,58.5,336194981,27636637546
2025-11-07 14:52:20,10.7,161585205,17059594240,5308514304,11751079936,68.9,12348030976,114106368,0.9,511207010304,298881105920,58.5,336205163,27636652330
2025-11-07 14:52:31,8.8,161719727,17059594240,5299097600,11760496640,68.9,12348030976,114106368,0.9,511207010304,298881105920,58.5,336220136,27636677823
2025-11-07 14:52:42,51.0,161801469,17059594240,5320835072,11738759168,68.8,12348030976,114106368,0.9,511207010304,298881105920,58.5,336234680,27636701342
2025-11-07 14:52:53,14.6,161879426,17059594240,5319454720,11740139520,68.8,12348030976,114106368,0.9,511207010304,298881105920,58.5,336249283,27636771511
2025-11-07 14:53:04,9.6,161961162,17059594240,5301190656,11758403584,68.9,12348030976,114106368,0.9,511207010304,298881130496,58.5,336255607,27636783432
2025-11-07 14:53:15,11.8,162076757,17059594240,5287403520,11772190720,69.0,12348030976,114106368,0.9,511207010304,298881200128,58.5,336284346,27636823578
2025-11-07 14:53:26,14.2,162213060,17059594240,5310910464,11748683776,68.9,12348030976,114106368,0.9,511207010304,298881200128,58.5,336302253,27636858778
2025-11-07 14:53:37,8.8,162287809,17059594240,5355704320,11703889920,68.6,12348030976,114106368,0.9,511207010304,298881265664,58.5,336326250,27636888933
2025-11-07 14:53:48,9.4,162364975,17059594240,5288599552,11770994688,69.0,12348030976,114106368,0.9,511207010304,298881363968,58.5,336338270,27636909051
2025-11-07 14:53:59,10.4,162443242,17059594240,5284958208,11774636032,69.0,12348030976,114106368,0.9,511207010304,298881294336,58.5,336354855,27636928703
2025-11-07 14:54:10,8.7,162520271,17059594240,5317963776,11741630464,68.8,12348030976,114106368,0.9,511207010304,298881228800,58.5,336360471,27636938951
2025-11-07 14:54:21,19.2,162605418,17059594240,5300068352,11759525888,68.9,12348030976,114106368,0.9,511207010304,298881163264,58.5,336389998,27636984958
2025-11-07 14:54:32,11.7,162688018,17059594240,5313323008,11746271232,68.9,12348030976,114106368,0.9,511207010304,298881163264,58.5,336398170,27637003282
2025-11-07 14:54:43,10.6,162776019,17059594240,5286305792,11773288448,69.0,12348030976,114106368,0.9,511207010304,298881228800,58.5,336425604,27637046618
2025-11-07 14:54:54,9.1,162857686,17059594240,5344673792,11714920448,68.7,12348030976,114106368,0.9,511207010304,298881294336,58.5,336435104,27637105994
2025-11-07 14:55:05,8.3,162937806,17059594240,5350215680,11709378560,68.6,12348030976,114106368,0.9,511207010304,298881253376,58.5,336441813,27637118765
2025-11-07 14:55:16,10.4,163016570,17059594240,5324587008,11735007232,68.8,12348030976,114106368,0.9,511207010304,298881253376,58.5,336453038,27637141483
2025-11-07 14:55:27,33.4,163098140,17059594240,5346689024,11712905216,68.7,12348030976,114106368,0.9,511207010304,298881253376,58.5,336462883,27637169059
2025-11-07 14:55:38,10.3,163180512,17059594240,5368397824,11691196416,68.5,12348030976,114106368,0.9,511207010304,298881257472,58.5,336483505,27637196760
2025-11-07 14:55:49,8.5,163259823,17059594240,5333409792,11726184448,68.7,12348030976,114106368,0.9,511207010304,298881359872,58.5,336494469,27637217348
2025-11-07 14:56:00,8.2,163348872,17059594240,5295161344,11764432896,69.0,12348030976,114106368,0.9,511207010304,298882379776,58.5,336508108,27637239606
2025-11-07 14:56:11,11.4,163420428,17059594240,5325680640,11733913600,68.8,12348030976,114106368,0.9,511207010304,298882445312,58.5,336514703,27637251964
2025-11-07 14:56:22,10.3,163511880,17059594240,5326540800,11733053440,68.8,12348030976,114106368,0.9,511207010304,298882445312,58.5,336532570,27637282974
2025-11-07 14:56:33,8.1,163594741,17059594240,5299535872,11760058368,68.9,12348030976,114106368,0.9,511207010304,298882445312,58.5,336538024,27637307995
2025-11-07 14:56:44,13.0,163675354,17059594240,5314007040,11745587200,68.9,12348030976,114106368,0.9,511207010304,298882379776,58.5,336563868,27637344171
2025-11-07 14:56:55,9.6,163759462,17059594240,5449846784,11609747456,68.1,12348030976,117481472,1.0,511207010304,298882379776,58.5,336572556,27637360281
2025-11-07 14:57:06,8.8,163839530,17059594240,5454479360,11605114880,68.0,12348030976,117075967,0.9,511207010304,298882469888,58.5,336587304,27637382179
2025-11-07 14:57:17,8.7,163917828,17059594240,5434892288,11624701952,68.1,12348030976,117075967,0.9,511207010304,298876743680,58.5,336592887,27637393685
